id,name,unique_name,other_name,gender,room_and_board,home_town,home_state,home_country,born,died,other_education,admitted_to_bar,training_with_other_lawyers,federal_committees,state_committees,biographical_notes,citation_of_attendance,image_id,secondary_sources,additional_notes,private_notes,benevolent_and_charitable_organizations,quotes,political_parties,professions,residences,government_posts,marriages,LLS,LFA,materials,relations
782,James Davis,,,M,,Syrna,DE,United States,1795 or 1796,June 1822,Graduated from Yale College in 1815.,,,,,"Davis committed suicide in Wilmington, DE. ","Handwritten list by William Samuel Johnson, 'Catalogue of the Students at Law in the school at Litchfield Conn. at & after Aug. 15th 1817..', Connecticut Historical Society, Johnson Family Papers, 1722-1863, Box - Johnson Papers; Catalogue of the Litchfie",,,"While attending Litchfield Law School in 1817, Davis was engaged to Litchfield Female Academy student Amelia Peck from New Haven but she didn't meet Davis' father's standards and he was forced to end the relationship.     On November 17, 1816, Sarah Pierce's sister Mary wrote to former Litchfield Law Student Charles G. Loring about 'Miss Amelia Peck,' “the young lady Mr. Davis was engaged to,” and “Mr. Davis [had] unkindly broken their long engagement.”      Pierce said Amelia was lovely in appearance, “but there is an indelicacy in her visiting at a Gentleman’s boardinghouse.”    Pierce deemed Davis “an excellent man” since “[a good son] resolves to comply with his father’s wishes and marry a lady of fortune in Delaware. Tho’ still professing in a letter to Mrs. Lord to feel Miss Peck’s superiority to all others…”    Loring Collection, Litchfield Historical Society",,,,,,,,,1816-1817,,,
783,John Davis,,,M,,Beverly,MA,United States,1792,1838,Attended Exeter in 1807.,,,,,John Davis worked as a farmer rather than a lawyer after attending the Litchfield Law School. ,"Ledger. 'Journals of the Barr - Litchfield County.' Litchfield Historical Society.; Catalogue of Litchfield Law School (Hartford, Connecticut: Press of Tiffany, Case and Company, 1849), 9.    Litchfield County Bar Association Records, 1811, Litchfield Historical Society, Helga J. Ingraham Memorial Library. ",,,,,,,,Agriculture,Wentham/MA/United States,,,1811,,,
784,John Brazier Davis,,,M,,,MA,United States,"October 16, 1798","December 17, 1832",Graduated from Harvard College in 1815.,"Boston, MA in 1823","He studied with William Prescott of Boston, MA.",,,"John Brazier Davis was the son of Lieutenant Ezra and Mary (Brazer) Davis. He was the first of their thirteen children. He attended Exeter Academy and then Harvard graduating second in his class in 1815. He attended the Litchfield Law School that same year. Before working as a lawyer, Davis worked as a teacher. He worked briefly as a tutor at Harvard and then as a teacher in Salem, MA. In 1822, David also worked as the editor of the Boston Chronicle and Patriot. After he was admitted to the bar in Boston, Davis spent the rest of his life as a lawyer and jounalist in that city. He also worked as a state representative for five years. He died only six years after his marriage to Laura Matilda Gay. His only child had died before him and his wife committed suicide two years later at McLean Asylum in Charlestown, MA. ","Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 13.",,"Davis, George L. comp. Samuel Davis & Joseph Davis. North Andover, MA: Private Printing, 1884. ",,,,,,Educator;Lawyer;Editor;Journalist;Political Office,Cambridge/MA/United States;Salem/MA/United States;Boston/MA/United States,State/State Representative//MA,"Laura Gay Davis/October 25, 1826",1815,,,
785,Laura Gay Davis,,,F,,Garfiner,ME,United States,,,,,,,,,,,,,,,,,,,,,,,,
786,Ezra Davis,,,M,,,,,"September 26, 1774","June 8, 1842",,,,,,,,,,,,,,,Military;Business,,,,,,,
787,Mary Brazer Davis,,,F,,,,,,"March 10, 1851",,,,,,,,,,,,,,,,,,,,,,
788,John H. Davis,John H. Davis (attended: 1817),,M,,,DE,United States,,,,,,,,Little information is known about John H. Davis. He was probably the son of a William Davis. He registered from Delaware. ,"Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 15.",,,,,,,,,,,,1817,,,
789,William Davis (probable),,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,Lawrence Edwin Dawson,,,M,,Charleston,SC,United States,"December 9, 1799","February 8, 1848",Attended Willington Academy.,"Charleston, SC in 1821",After attending the Litchfield Law School he studied with Col. William Drayton and Mr. Petigru.,,,"Lawrence Edwin Dawson was the sixth child of John and Mary (Huger) Dawson. Dawson studies with Moses Waddell at his Willington Academy and then read law with Colonel William Drayton of Charleston, SC. He was admitted to the bar there in 1821 however he then went for further schooling at the Litchfield Law School in 1822. After the law school, he worked as a lawyer in Charleston, SC until 1829. He married and he and his wife had six children. In 1829 he moved to the Prince WIlliam's Parish in the Beaufort District of South Carolina. He represented that parish in the state house from 1832 to 1835 but declined a nomination to run for the U.S. Congress in 1833. He retired in ill health in 1834 and instead began work as a planter. He moved again in 1842 to Dallas County, Alabama. ","Litchfield Eagle, October 7, 1822; Litchfield Eagle, October 6, 1823; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 18.",,"Dawson, Charles Carroll. A Record of the Descendants of Robert Dawson of East Haven, Conn. New York: Russells' American Steam Printing House, 1871.; O'Neall,Stephen. Biographical Sketches of the Bench and Bar of South Carolina, vol. 2. Charleston, SC: S.G. Courtenay & Co., 1859. ",,,,,,Lawyer;Political Office,Charleston/SC/United States;Prince William's Parish/SC/United States;Dallas County/AL/United States,State/State Representative//SC,Mary Rhodes Dawson/1826 or 1822,1821-1823,,,
791,Mary Rhodes Dawson,,,F,,Beaufort,SC,United States,,,,,,,,,,,,,,,,,,,,,,,,
792,John Dawson,,,M,,,,,"July 8, 1765","June 3, 1823",,,,,,,,,,,,,,,Business,,,,,,,
793,Mary Huger Dawson,,,F,,,,,,"November 11, 1823",,,,,,,,,,,,,,,,,,,,,,
794,William Crosby Dawson,,,M,,Greensboro ,GA,United States,"January 4, 1798","May 6, 1856",Studied with Rev. Dr. Cumming and graduated from Franklin College (later the University of Georgia) in 1816.,1816,"In 1816 prior to attending the Litchfield Law School he read the law in the office of Thomas W. Cobb in Lexington, GA.","Chairman of the Committee on Mileage from 1837-1838. Member of the Committtee on Claims in 1839 and 1840. Member of the Committee on Military Affairs from 1841-1842. And, Chairman of the Committee on Private Land Claims in 1851 and 1852.",,"William Crosby Dawson was the son of George Dawson, a British soldier during the Revolution who deserted and fled to North Carolina. He married Ruth Skidmore. Dawson was first taught by Rev. Dr. Cumming and then continued his education at the Academy in Greensboro County, GA. Dawson graduated from Franklin College, later the University of Georgia, in 1816 at the age of eighteen. After graduation he studied law for a year at the office of the Hon. Thomas W. Cobb in Lexington, GA. He then completed his legal studies at the Litchfield Law School. In 1818 he was admitted to the bar in Greensboro, GA. The following year he married his first wife. They had eight children together and she died in 1850. Dawson later remarried in 1854. During this life, Dawson pursued a long and eminent politcal as well as legal career. He worked as a lawyer in Greensboro from 1818 to 1821 when he was elected the Clerk of the State House of Representatives. He held this position for twelve years. During this time he also compiled the laws of Georgia and he published Compilation of the Laws of the State of Georgia by legislative appointment in 1828. During his time in Congress, Dawson lost a race for Governor in 1840. He was one of the leading members of the Georgia Convention of 1840 and his championing of Clay's Compromise of 1850 is said to have brought Webster to their support. In 1851, he was one of the originators of the Union Party and two years later he presided over the Southern Convention in Memphis. He also actively supported the Kansas-Nebraska Act of 1854. Dawson retired in 1855 at the end of the 33rd Congress and returned to Greensboro. He died there. Both a county and a city are named after him in Georgia. ","Houghton, Josiah. 'LLS Law Notebook 1817-1818.' Litchfield Law School Collection, Series 1, Subseries 1, Litchfield Historical Society.; Handwritten list by William Samuel Johnson, 'Catalogue of the Students at Law in the school at Litchfield Conn. at & a",,"Dawson, Charles Carroll. A Record of the Descendants of Robert Dawson of East Haven, Conn. New York: Russells' American Steam Printing House, 1871.; Dawson, Charles C. A Collection of Family Records. Albany, NY: Joel Munsell, 1874. ",,,,,Whig,Lawyer;Political Office,Greensboro/GA/United States,"Federal/U.S. Representative//GA;Federal/U.S. Senator//GA;State/Clerk/of the State House of Representatives/GA;State/State Senator//GA;Local/Judge/of the Superior Court/Ocmulgee District, GA",Henrietta Wingfield Dawson/1819;Eliza Williams Dawson/November 1854,1817,,,
795,Henrietta Wingfield Dawson,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,Eliza Williams Dawson,,,F,,,TN,United States,,,,,,,,,,,,,,,,,,,,,,,,
797,George Dawson,,,M,,,,,,,,,,,,,,,,,,,,,Agriculture,,,,,,,
798,Ruth Skidmore Dawson,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Edgar Burr Day,,,M,,Catskill,NY,United States,"September 1, 1803","November 22, 1863",Attended Dartmouth College but then graduated from Yale College in 1824.,1827,,,,"Edgar Burr Day was the son of Orrin Burr, Esq. and Mary Burr Hull of Greenfield, CT. His early education began at Litchfield South Farms under Rev. William R. Weeks. After being admitted to the bar, he practiced law in Catskill, NY for many years. He and his wife had four children. He retired from the law in 1852. From the Yale Obituary Record 1864: He originally entered Dartmouth College, removing thence to Yale College in his Sophomore year. After a course in legal study at Catskill, and at Litchfield, he was admitted to the bar in 1827 and continued to practice his profession until 1841 when the failure of his eyesight led him to engage in mercantile pursuits. He as an elder in the Presbyterian Church, and for thirty years superintendant of the Sunday School in the Church to which he belonged. ","Woodruff, George Catlin. 'LLS Notes.' Litchfield Historical Society.; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1848), 21.",,"Yale University, Class of 1824. Biographical Sketches of the Class of 1824. Norwalk, CT: A.B. Byington, 1855. ",,,,,,Lawyer,Catskill/NY/United States,,"Sophia Camp Day/September 24, 1835",1826,,,
800,Sophia Camp Day,,,F,,Sackest Harbor,NY,United States,,,,,,,,,,,,,,,,,,,,,,,,
801,Orrin Burr Day,,,M,,,,,"May 11, 1776","December 26, 1846",,,,,,,,,,,,,,,,,,,,,,
802,Mary Hall Day,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Thomas Day,,,M,,New Preston,CT,United States,"July 6, 1777","March 1, 1855","Tutored by Barzzilai Slosson of Sharon, CT and in 1793 attended the New Milford Academy. He graduated from Yale College in 1797.","Hartford, CT in December 1799",,,,"Thomas Day was a sixth generation descendant of Robert Day of Hartford, Connecticut, born in England in 1634 and one of the first settlers of Massachusetts as well as an early settler of Hartford with Rev. Thomas Hooker. Thomas Day's parents were Rev. Jeremiah Day and his third wife Abigail Osborne Day.    Day's education began with instruction in Latin and Greek by his father and brother. He studied at an academy in New Milford and then graduated from Yale College in 1797. Day then attended the Litchfield Law School. After leaving the law school, he took his brother's place as a tutor at William's College for one year and read the law with Daniel Dewey. He then moved to Hartford in September of 1799 where he studied further under Theodore Dwight.     In 1805, Day began to attend sessions of the Connecticut Supreme Court and took notes to report on decisions. This experience would later lead to his appointment as the first reporter of the Supreme Court of Connecticut in 1814, a position he held until 1853. Consequently, Day published <i>Reports of Cases, Argued and Determined in the Supreme Court of Errors, of the State of Connecticut</i>, an extensive work consisting of two series of 26 volumes published between 1802 and 1853. He also published a digest of this work from 1786 to 1838 and well as an 1813 digest of cases in several courts of the United States. Day also worked as an editor of the Public Statues of Connecticut in 1808, 1821 and 1824 as well as several English law books. Finally, Day was the author of the <i>Concise History of the Judiciary of Connecticut</i> published by the Connecticut Historical Society.     In 1821, at the May session of the General Assembly of Connecticut , members passed a revised 'Crimes and Punishments' law. Zepheniah Swift, Lemuel Whitman, and Thomas Day, the three legal scholars who drafted the act at the legislature's request, had placed in section 14 a miscarriage clause that was without precedent in the United States. This clause was the first time that an American legislature had addressed the question of abortion in statute form, and it declared illegal the particular method of poisoning to induce abortion.     Despite his busy political and legal career, Day was involved with many charitable institutions, largely in relation to education. He served as a trustee at the Hartford Female Seminary, the Hartford Grammer School, the Retreat for the Insane, and the American Asylum for the Deaf and Dumb. Day also worked as the Director of the Connecticut Bible Society and as the president of the Hartford County Missionary Society, the Connecticut Branch of American Education Society and the Goodrich Association. Day also established a scholarship at his alma mater, Yale, in 1832 for the descendants of the Rev. Jeremiah Day.    Day was also the founder of the Connecticut Historical Society in 1825 and became the President when it was reorganized in 1839. Several years later, Day received an honorary degree from Yale in 1847.     He and his wife had eight children. Day died in Hartford, CT. ","'Moothall Society Record Books.' Litchfield Law School Collection, Series 1, Subseries 3, Litchfield Historical Society.; Handwritten list of names on loose papers titled 'prior to 1798,' inside Catalogue of Litchfield Law School (Hartford, CT: Press of C",Thomas Day.jpg,"<i>A Genealogical Register of the Descendants in the Male Line of Robert Day</i>. New Haven: William Storer, Jun., 1840; Chapman, A.M., Rev. F.W.     <i>The Coit Family</i>. Hartford: The Press of Case, Lockwood & Brainard Co., 1874.     New England Historic Genealogy Society. <i>Memorial Biographies of the New England Historic Genealogical Society, Vol. 2</i>. Published by the Society, 1881.    Putman, E. <i>Some Chronicles of the Day Family</i>. Riverside Press, 1893.    Cothren, William. <i>History of Ancient Woodbury from the First Indian Deed in 1659 to 1879</i>. Woodbury, CT, 1879.     Day, Thomas & James Murdock. <i>Brief Memoirs of the Class of 1797</i>. New Haven, CT: Yale College, 1848.    Mohr, James C. <i>Abortion in America: The Origins and Evolution of National Policy.</i> Oxford University Press, 1978.","http://books.google.com/books?id=0moyq1cxDV0C&pg=PA20&lpg=PA20&dq=%22lemuel+whitman+abortion&source=bl&ots=SyN2uwDbUy&sig=5AafKhwbEqiQs_64dm2tzgSwuqA&hl=en&ei=8kC7TJeKPI36swOK5aSfBA&sa=X&oi=book_result&ct=result&resnum=1&sqi=2&ved=0CBYQ6AEwAA#v=onepage&q=%22lemuel%20whitman%20abortion&f=false    On April 3, 1798, William Smith wrote to Day regarding a sexual affair between a domestic worker and a Litchfield Law Student: he can “kiss” a “certain lady that works at Mr. Deming’s once in a few weeks by name of Miss P.L.”  ",,,"'The studies of the Lawyer are every day and uninteresting. If every case in law were to be studied upon the basis of reason and justice, the .... lisation (?) would be more pleasant, but a great part of our law is founded, not in the nature of things, nor on any positive statute of the legislature, but merely upon the narrow, technical notions of judges who sat on the English bench some centuries ago. After one sett of errors was introduced, another sett was soon found necessary as order to preserve the symetry of the legal system. As error is always crocked, that very chinck stone which was put in to stop one gape in the wall soon pushed out of its place, and made a hole the other side. Fictions (?) were then thrown in, like shrub oak bush, to repair the break. Now as Courts of Law are regulated by precedents, all these matters must necessarily be attended to. The Lawyer must follow the Courts, and in this may spend his life in collecting triffles that load the memory without pleasing the fancy, or improving the understanding.' Thomas Day, March 19, 1798.    ",,Lawyer;Editor;Political Office,Hartford/CT/United States,"State/Secretary of State//CT;Local/Associate Judge/of County Court/Hartford County, CT;Local/Chief Judge/of County Court/Hartford County, CT;Local/Judge/of City Court/Hartford, CT","Sarah Coit Day/March 18, 1813",1797,,Bust of Thomas Day;Thomas Day Silhouette,
